dev,name_code,month,year,time,cont,ton
AMSTERDAM,amsterdam,August,2021,2021-08-01,12.0,99.20000000000002
AMSTERDAM,amsterdam,December,2018,2018-12-01,11.0,70.2
AMSTERDAM,amsterdam,December,2019,2019-12-01,11.0,79.52000000000001
AMSTERDAM,amsterdam,December,2020,2020-12-01,19.0,131.39999999999998
AMSTERDAM,amsterdam,December,2021,2021-12-01,0.0,0.0
AMSTERDAM,amsterdam,February,2018,2018-02-01,9.0,66.60000000000001
AMSTERDAM,amsterdam,February,2019,2019-02-01,9.0,75.09
AMSTERDAM,amsterdam,February,2020,2020-02-01,11.0,85.7
AMSTERDAM,amsterdam,February,2021,2021-02-01,11.0,86.93
AMSTERDAM,amsterdam,January,2018,2018-01-01,7.0,52.23
AMSTERDAM,amsterdam,January,2019,2019-01-01,12.0,78.3
AMSTERDAM,amsterdam,January,2020,2020-01-01,13.0,99.81
AMSTERDAM,amsterdam,January,2021,2021-01-01,13.0,90.03
AMSTERDAM,amsterdam,July,2018,2018-07-01,10.0,81.89
AMSTERDAM,amsterdam,July,2019,2019-07-01,12.0,103.78
AMSTERDAM,amsterdam,July,2020,2020-07-01,12.0,104.11000000000001
AMSTERDAM,amsterdam,July,2021,2021-07-01,13.0,97.65
AMSTERDAM,amsterdam,June,2018,2018-06-01,9.0,71.31
AMSTERDAM,amsterdam,June,2019,2019-06-01,9.0,75.78999999999999
AMSTERDAM,amsterdam,June,2020,2020-06-01,11.0,99.27
AMSTERDAM,amsterdam,June,2021,2021-06-01,15.0,121.03
AMSTERDAM,amsterdam,March,2018,2018-03-01,11.0,83.08000000000001
AMSTERDAM,amsterdam,March,2019,2019-03-01,9.0,72.3
AMSTERDAM,amsterdam,March,2020,2020-03-01,11.0,79.28
AMSTERDAM,amsterdam,March,2021,2021-03-01,15.0,114.02000000000001
AMSTERDAM,amsterdam,May,2018,2018-05-01,11.0,85.78999999999999
AMSTERDAM,amsterdam,May,2019,2019-05-01,12.0,103.7
AMSTERDAM,amsterdam,May,2020,2020-05-01,8.0,71.28999999999999
AMSTERDAM,amsterdam,May,2021,2021-05-01,12.0,93.13000000000001
AMSTERDAM,amsterdam,November,2018,2018-11-01,12.0,80.08
AMSTERDAM,amsterdam,November,2019,2019-11-01,10.0,77.27999999999999
AMSTERDAM,amsterdam,November,2020,2020-11-01,12.0,98.47999999999999
AMSTERDAM,amsterdam,November,2021,2021-11-01,0.0,0.0
AMSTERDAM,amsterdam,October,2018,2018-10-01,14.0,95.49
AMSTERDAM,amsterdam,October,2019,2019-10-01,12.0,107.65
AMSTERDAM,amsterdam,October,2020,2020-10-01,11.0,91.73
AMSTERDAM,amsterdam,October,2021,2021-10-01,0.0,0.0
AMSTERDAM,amsterdam,September,2018,2018-09-01,11.0,79.82000000000001
AMSTERDAM,amsterdam,September,2019,2019-09-01,10.0,85.88
AMSTERDAM,amsterdam,September,2020,2020-09-01,11.0,93.65
AMSTERDAM,amsterdam,September,2021,2021-09-01,17.0,134.01
ASTORIA,astoria,April,2018,2018-04-01,12.0,74.46
ASTORIA,astoria,April,2019,2019-04-01,7.0,45.54
ASTORIA,astoria,April,2020,2020-04-01,22.0,141.18
ASTORIA,astoria,April,2021,2021-04-01,23.0,139.98
ASTORIA,astoria,August,2018,2018-08-01,9.0,61.230000000000004
ASTORIA,astoria,August,2019,2019-08-01,10.0,68.14999999999999
ASTORIA,astoria,August,2020,2020-08-01,22.0,136.75
ASTORIA,astoria,August,2021,2021-08-01,18.0,115.19000000000001
ASTORIA,astoria,December,2018,2018-12-01,15.0,99.22999999999999
ASTORIA,astoria,December,2019,2019-12-01,18.0,110.62
ASTORIA,astoria,December,2020,2020-12-01,25.0,154.18000000000004
ASTORIA,astoria,December,2021,2021-12-01,0.0,0.0
ASTORIA,astoria,February,2018,2018-02-01,10.0,67.83999999999999
ASTORIA,astoria,February,2019,2019-02-01,5.0,32.4
ASTORIA,astoria,February,2020,2020-02-01,18.0,111.42
ASTORIA,astoria,February,2021,2021-02-01,21.0,123.48
ASTORIA,astoria,January,2018,2018-01-01,11.0,74.05
ASTORIA,astoria,January,2019,2019-01-01,18.0,114.44999999999999
ASTORIA,astoria,January,2020,2020-01-01,23.0,147.39999999999998
ASTORIA,astoria,January,2021,2021-01-01,22.0,129.95
ASTORIA,astoria,July,2018,2018-07-01,5.0,36.97
ASTORIA,astoria,July,2019,2019-07-01,11.0,76.75
ASTORIA,astoria,July,2020,2020-07-01,29.0,180.37
ASTORIA,astoria,July,2021,2021-07-01,18.0,118.07000000000002
ASTORIA,astoria,June,2018,2018-06-01,11.0,74.88
ASTORIA,astoria,June,2019,2019-06-01,8.0,56.42
ASTORIA,astoria,June,2020,2020-06-01,21.0,141.79000000000002
ASTORIA,astoria,June,2021,2021-06-01,28.0,161.98
ASTORIA,astoria,March,2018,2018-03-01,15.0,99.85
ASTORIA,astoria,March,2019,2019-03-01,12.0,77.52
ASTORIA,astoria,March,2020,2020-03-01,18.0,119.08
ASTORIA,astoria,March,2021,2021-03-01,30.0,165.92000000000002
ASTORIA,astoria,May,2018,2018-05-01,15.0,101.7
ASTORIA,astoria,May,2019,2019-05-01,9.0,65.83
ASTORIA,astoria,May,2020,2020-05-01,22.0,143.69
ASTORIA,astoria,May,2021,2021-05-01,21.0,120.0
ASTORIA,astoria,November,2018,2018-11-01,16.0,108.14999999999999
ASTORIA,astoria,November,2019,2019-11-01,18.0,106.42999999999999
ASTORIA,astoria,November,2020,2020-11-01,23.0,141.97
ASTORIA,astoria,November,2021,2021-11-01,0.0,0.0
ASTORIA,astoria,October,2018,2018-10-01,13.0,94.08000000000001
ASTORIA,astoria,October,2019,2019-10-01,20.0,123.91999999999999
ASTORIA,astoria,October,2020,2020-10-01,19.0,125.6
ASTORIA,astoria,October,2021,2021-10-01,0.0,0.0
ASTORIA,astoria,September,2018,2018-09-01,13.0,93.1
ASTORIA,astoria,September,2019,2019-09-01,12.0,67.32000000000001
ASTORIA,astoria,September,2020,2020-09-01,27.0,170.47
ASTORIA,astoria,September,2021,2021-09-01,22.0,151.40999999999997
ATLANTIC TERMINAL,atlanticterminal,April,2018,2018-04-01,2.0,14.59
ATLANTIC TERMINAL,atlanticterminal,April,2019,2019-04-01,3.0,18.84
ATLANTIC TERMINAL,atlanticterminal,April,2020,2020-04-01,5.0,40.91
ATLANTIC TERMINAL,atlanticterminal,April,2021,2021-04-01,5.0,47.65
ATLANTIC TERMINAL,atlanticterminal,August,2018,2018-08-01,3.0,15.040000000000001
ATLANTIC TERMINAL,atlanticterminal,August,2019,2019-08-01,3.0,22.31
ATLANTIC TERMINAL,atlanticterminal,August,2020,2020-08-01,4.0,26.83
ATLANTIC TERMINAL,atlanticterminal,August,2021,2021-08-01,3.0,23.97
ATLANTIC TERMINAL,atlanticterminal,December,2018,2018-12-01,3.0,18.32
ATLANTIC TERMINAL,atlanticterminal,December,2019,2019-12-01,4.0,25.56
ATLANTIC TERMINAL,atlanticterminal,December,2020,2020-12-01,5.0,29.2
ATLANTIC TERMINAL,atlanticterminal,December,2021,2021-12-01,0.0,0.0
ATLANTIC TERMINAL,atlanticterminal,February,2018,2018-02-01,3.0,19.16
ATLANTIC TERMINAL,atlanticterminal,February,2019,2019-02-01,3.0,19.61
ATLANTIC TERMINAL,atlanticterminal,February,2020,2020-02-01,3.0,18.48
ATLANTIC TERMINAL,atlanticterminal,February,2021,2021-02-01,4.0,26.54
ATLANTIC TERMINAL,atlanticterminal,January,2018,2018-01-01,4.0,25.59
ATLANTIC TERMINAL,atlanticterminal,January,2019,2019-01-01,5.0,32.56
ATLANTIC TERMINAL,atlanticterminal,January,2020,2020-01-01,3.0,21.33
ATLANTIC TERMINAL,atlanticterminal,January,2021,2021-01-01,4.0,25.99
ATLANTIC TERMINAL,atlanticterminal,July,2018,2018-07-01,3.0,22.02
ATLANTIC TERMINAL,atlanticterminal,July,2019,2019-07-01,5.0,30.36
ATLANTIC TERMINAL,atlanticterminal,July,2020,2020-07-01,5.0,38.12
ATLANTIC TERMINAL,atlanticterminal,July,2021,2021-07-01,3.0,26.28
ATLANTIC TERMINAL,atlanticterminal,June,2018,2018-06-01,3.0,22.48
ATLANTIC TERMINAL,atlanticterminal,June,2019,2019-06-01,3.0,19.72
ATLANTIC TERMINAL,atlanticterminal,June,2020,2020-06-01,2.0,16.18
ATLANTIC TERMINAL,atlanticterminal,June,2021,2021-06-01,5.0,32.59
ATLANTIC TERMINAL,atlanticterminal,March,2018,2018-03-01,4.0,22.64
ATLANTIC TERMINAL,atlanticterminal,March,2019,2019-03-01,3.0,20.06
ATLANTIC TERMINAL,atlanticterminal,March,2020,2020-03-01,3.0,18.38
ATLANTIC TERMINAL,atlanticterminal,March,2021,2021-03-01,5.0,32.57
ATLANTIC TERMINAL,atlanticterminal,May,2018,2018-05-01,4.0,23.59
ATLANTIC TERMINAL,atlanticterminal,May,2019,2019-05-01,4.0,27.04
ATLANTIC TERMINAL,atlanticterminal,May,2020,2020-05-01,3.0,23.07
ATLANTIC TERMINAL,atlanticterminal,May,2021,2021-05-01,3.0,21.03
ATLANTIC TERMINAL,atlanticterminal,November,2018,2018-11-01,4.0,29.44
ATLANTIC TERMINAL,atlanticterminal,November,2019,2019-11-01,4.0,25.58
ATLANTIC TERMINAL,atlanticterminal,November,2020,2020-11-01,3.0,24.42
ATLANTIC TERMINAL,atlanticterminal,November,2021,2021-11-01,0.0,0.0
ATLANTIC TERMINAL,atlanticterminal,October,2018,2018-10-01,3.0,23.21
ATLANTIC TERMINAL,atlanticterminal,October,2019,2019-10-01,3.0,19.96
ATLANTIC TERMINAL,atlanticterminal,October,2020,2020-10-01,4.0,39.39
ATLANTIC TERMINAL,atlanticterminal,October,2021,2021-10-01,0.0,0.0
ATLANTIC TERMINAL,atlanticterminal,September,2018,2018-09-01,3.0,23.77
ATLANTIC TERMINAL,atlanticterminal,September,2019,2019-09-01,4.0,20.64
ATLANTIC TERMINAL,atlanticterminal,September,2020,2020-09-01,4.0,36.13
ATLANTIC TERMINAL,atlanticterminal,September,2021,2021-09-01,6.0,49.31
AUDUBON,audubon,April,2018,2018-04-01,0.0,0.0
AUDUBON,audubon,April,2019,2019-04-01,2.0,19.23
AUDUBON,audubon,April,2020,2020-04-01,4.0,34.349999999999994
AUDUBON,audubon,April,2021,2021-04-01,2.0,20.24
AUDUBON,audubon,August,2018,2018-08-01,2.0,17.79
AUDUBON,audubon,August,2019,2019-08-01,2.0,21.16
AUDUBON,audubon,August,2020,2020-08-01,4.0,34.53
AUDUBON,audubon,August,2021,2021-08-01,4.0,31.11
AUDUBON,audubon,December,2018,2018-12-01,2.0,17.16
AUDUBON,audubon,December,2019,2019-12-01,3.0,27.85
AUDUBON,audubon,December,2020,2020-12-01,5.0,41.19
AUDUBON,audubon,December,2021,2021-12-01,0.0,0.0
AUDUBON,audubon,February,2018,2018-02-01,1.0,4.82
AUDUBON,audubon,February,2019,2019-02-01,1.0,9.72
AUDUBON,audubon,February,2020,2020-02-01,4.0,36.790000000000006
AUDUBON,audubon,February,2021,2021-02-01,4.0,34.5
AUDUBON,audubon,January,2018,2018-01-01,0.0,0.0
AUDUBON,audubon,January,2019,2019-01-01,2.0,18.58
AUDUBON,audubon,January,2020,2020-01-01,4.0,31.75
AUDUBON,audubon,January,2021,2021-01-01,2.0,17.29
AUDUBON,audubon,July,2018,2018-07-01,4.0,37.04
AUDUBON,audubon,July,2019,2019-07-01,2.0,21.82
AUDUBON,audubon,July,2020,2020-07-01,5.0,48.07
AUDUBON,audubon,July,2021,2021-07-01,4.0,34.97
AUDUBON,audubon,June,2018,2018-06-01,3.0,25.189999999999998
AUDUBON,audubon,June,2019,2019-06-01,1.0,9.73
AUDUBON,audubon,June,2020,2020-06-01,4.0,37.15
AUDUBON,audubon,June,2021,2021-06-01,5.0,48.72
AUDUBON,audubon,March,2018,2018-03-01,0.0,0.0
AUDUBON,audubon,March,2019,2019-03-01,2.0,20.49
AUDUBON,audubon,March,2020,2020-03-01,5.0,33.8
AUDUBON,audubon,March,2021,2021-03-01,5.0,43.28
